sno,MedName,LocA,LocB,LocC,LocD
59, Tixoxyl,70177,55806,101672,49560
60, Tormoxin,26765,50708,52978,26739
61, Trimox,106944,41198,41532,102002
62, Zovax,111062,66391,102315,77390
63, Zovax,37677,60663,60207,82401
64, AD 100,106320,15081,43095,89113
65, AD DT,70985,20569,26954,101542
66, AD DT (30 mg),41838,95098,94268,67285
67, AD EE 10,26070,21737,18514,114537
68, Ad EE-10,58797,37136,23352,50653
69, Ad EE-30,42516,19948,47078,91580
70, AD Sachet,28639,64795,104313,114149
71, AD Sachet (30 mg),91494,61580,38253,44621
72, Aquasec,110636,76862,17993,50457
73, Cadot,88652,56166,117591,47103
74, Cadotril,58671,95402,42293,100839
75, Cadotril (15 mg),36889,67151,45250,22018
76, Dirasec,42849,17248,29120,60801
77, Dirasec (1gm),32133,93359,46028,97058
78, Dirasec (2 gm),74900,58595,42453,56892
79, Dotril,93912,43085,32355,17435
80, Dotril (100 mg),100235,101261,112675,79237
81, Editor,59253,36196,79627,98590
82, Enuff,63694,96379,108840,100081
83, Enuff (10 mg),66917,65450,81324,104243
84, Enuff (15 mg),98177,66145,105596,39894
85, Enuff (30 mg),83116,97700,104408,49809
86, Enuff -DT,95610,20995,83390,77324
87, Enuff DT (30 mg),18551,39616,44748,70877
88, Exdara,41978,23758,69713,20746
89, Exdara,90624,74869,101812,46294
90, Hydral,104062,38684,107008,82878
91, Lomorest,51561,31181,56855,58034
92, Lomorest (10 mg),83107,64295,67183,16751
93, Lomorest (30 mg),34985,110975,44782,95976
94, Nodi,76755,109866,36211,92792
95, Normet R,73485,58697,104983,59269
96, Pedidot,65419,76443,58788,100991
97, Pedidot (3 gm),41595,104155,52131,55402
98, Racaril,51538,20963,91390,23734
99, Race F,84869,90910,97247,72323
100, Race -F,78681,38626,75190,50542
101, Racedot,71112,85717,53381,19394
102, Raceloc -100,33009,40983,47540,43606
103, Raceloc Sachet,47174,37240,42838,73976
104, Racestat,59219,48721,76069,23103
105, Racestat Sachet,30595,70531,99767,103176
106, Racet,88345,101607,50961,32411
107, Racex,13195,25765,40354,87237
108, Racigyl,85611,75079,48080,25808
109, Racotil,47862,74612,50343,95230
110, Racotil (1 gm),48876,81924,103798,77098
111, Racotil (3 gm),107888,25060,89074,107789
112, Racy,59990,58818,88240,34124
113, Racy (10 mg),88822,62019,84901,38262
114, Racy (30 mg),97716,108995,18969,99871
115, Ralop,17201,52743,106304,53183
116, Redotil,47384,81165,29053,111647
117, Redotil (10 mg),75492,57451,15276,92654
118, Redotil (30 mg),87901,111089,58775,75604
119, Rontap Cap,50691,43641,59236,42586
120, Rontap DT,112021,99386,66522,98712
121, Trotz,82181,25570,40790,92248
122, Trotz (10 mg),53261,41362,76317,84321
123, Trotz (30 mg),82330,65743,42925,21860
124, Welblock,34921,76869,88719,76462
125, Zedott,62544,108821,59338,106043
126, Zedott (10 mg),44050,55780,88955,96657
127, Zedott (30 mg),84057,30446,36107,92106
128, Zedott DT,30638,76459,25446,20104
129, Zedott DT (30 mg),55615,78714,28523,63034
130, Zomatril,80954,57433,82926,116719
131, Zomatril (30 mg),57585,82812,108896,40357
132, Zomatril DT,45539,76526,62698,66311
133, Zomatril DT (100 mg),66984,18694,51207,106701
134, Zomatril DT (30 mg),92854,56452,98646,110531
135, A Cet (10mg),31372,34348,23421,69783
136, A Cet (60ml),40389,94549,77193,61096
137, Acet (10mg),65049,67313,45875,52781
138, Acit (10mg),102439,48000,86902,42974
139, Affycet (10mg),90900,66186,108272,31492
140, Aglocet (10mg),75147,95544,35047,61576
141, Aglocet (30ml),39694,49660,51445,96523
142, Agrocet (10mg),47879,33649,82036,109767
143, Aiday (10mg),42449,42399,105687,46859
144, Airtis (5mg) (Cetirizine),35626,22734,69737,62433
145, Alcare (10mg),44859,50370,93820,104498
146, Alce (10mg),111698,22417,14951,53573
147, Alcet (10mg),68534,92610,109686,57399
148, Alcet (10mg) (Acron Pharma),76877,37835,99481,38428
149, Alcet (10mg) (Jocund India),93852,15388,92962,93545
150, Alcet (10mg) (Pharmatech),41311,21853,20956,11500
151, Alcet (Suzikem Drugs) (10mg),30235,16713,41512,106608
152, Alday (10mg),102672,50879,50132,92061
153, Alday tab (10mg),58650,46294,78906,59697
154, Alego (10mg),80314,71673,108025,85700
155, Alerbloc (10mg),48114,25145,72319,21037
156, Alerbloc (60ml),111351,22700,51841,108403
157, Alergid (10mg),102645,65000,44111,100334
158, Alergo (10mg),108096,110710,51552,20728
159, Alerid (10mg),20031,28492,72499,70818
160, Alerid (30ml),107723,24969,63508,39005
161, Alertac (10mg),96465,77991,74168,103737
162, Alertac (60ml),33336,37104,17624,69959
163, Alertac Paed (5mg),115201,23069,87357,25598
164, Alervin (10mg),18799,34384,111163,56732
165, Alervin (60ml),80371,55668,105895,47527
166, Alerzo (10mg),47867,88242,111537,82438
167, Alger (5mg),116141,105593,66148,58585
168, Alger (60ml),85887,102085,82987,21176
169, Algine (10mg),16593,49292,31418,105088
170, Alid (10mg),22293,47779,80064,36084
171, Allercet (10mg),104239,84189,118456,69813
172, Allercet (60ml),59903,49576,100089,61687
173, Allercet P (5mg),40002,84250,55586,73747
174, Allerhin (10mg),70924,74563,25334,86013
175, Allerhin (60ml),57545,58447,81080,90527
176, Allerzine (10mg),15034,19436,12514,55898
177, Allicet (10mg),77748,33269,18054,57328
178, Alocet (60ml),61918,67183,90413,36145
179, Alquit (10mg),96711,17072,25362,80804
180, Alvin (10mg),50250,59716,48160,59979
181, Analar (10mg),24356,90966,56786,12375
182, Ancet (10mg),50512,110921,85494,65307
183, Antized (10mg),70540,18800,33312,79462
184, Antized (30ml),105654,88925,53490,102018
185, Anzin (10mg),112576,60379,46510,23184
186, Arizine (10mg),48061,66875,92278,102337
187, Arzyt (10mg),89987,97229,64694,95747
188, Atcet (10mg),97209,105482,18697,38166
189, Atcet MD (10mg),87087,59092,113004,103428
190, Atozine (10mg),49773,73411,68803,101648
191, Avcet (10mg),101914,32985,70232,60455
192, Avizin (10mg),58410,26031,75186,93823
193, Avizin (60ml),42570,77721,106442,78547
194, AZ (10mg),93145,102433,75733,57987
195, Bancet (10mg),26624,86735,100950,54836
196, Bealert (10mg),77564,26068,36466,90013
197, Bio act (10mg),24107,94692,14296,66721
198, Bio-Drug Laboratories Pvt Ltd,39958,104538,63439,87586
199, Biozin (10mg),72235,33993,66686,83650
200, C Day (10mg),82853,25033,36084,81085
201, C Tec (10mg),74092,99692,85433,67776
202, Ce-10 (10mg),62087,78856,98468,47987
203, Cefid (10mg),82819,71033,101998,91771
204, Ceriz (10mg),64792,49940,81765,71779
205, Ceriz (30ml),105676,49554,105553,47853
206, Cerizine FT (5mg),24724,42082,99618,33206
207, Certen (10mg,68679,93573,72768,50246
208, Certiwon (10mg),32387,59154,56036,15822
209, Cet (10mg),57256,21764,109771,98416
210, CET (10mg) (libra),96384,101142,91338,37510
211, Cetag (10mg),85994,105819,27482,76951
212, Cetall (10mg),96433,70290,90122,44480
213, Cetariv (10mg),108284,33145,74983,62570
214, Cetariv (60ml),39499,67155,113577,88520
215, Cetaz (10mg),75924,87648,103116,38751
216, Cetchem (10mg),77078,20915,67018,79590
217, Cetcip (10mg),81167,18568,65299,23460
218, Cetcip (30ml),98476,74563,37529,109428
219, Cetcip-SG (10 mg),70542,99582,95366,38005
220, Ceten (100ml),54020,110993,44197,27241
221, Ceten (10mg),81511,32639,41453,15537
222, Ceter-DT (10mg),22533,31214,99846,110039
223, Ceterezol (10mg),104540,69320,73993,100905
224, Ceterezol (5mg),63455,106161,77268,16860
225, Cetgel (10mg),104796,93182,102155,52187
226, Cet-HL (10mg),50029,85019,85532,19830
227, Ceti (10mg),47398,106723,65725,37087
228, Ceticad (10mg),90299,62574,38994,86179
229, Cetikin (10mg),49099,48409,49372,93635
230, ,90201,76608,37126,93451
231, Cetiminic (10mg),41935,79869,71051,42864
232, Cetiminic (60ml),24963,48042,25845,83351
233, Cetin (10mg),76889,103987,101598,57907
234, Cetin (30ml),66222,53378,107764,110069
235, Cetine-DT (10mg),26224,28302,93143,60160
236, Cetiriz (10mg),102259,17350,79848,72422
237, Cetiriz (30ml),46908,64931,58830,14581
238, Cetirizine (10mg),50922,87552,29147,95246
239, Cetirizine-Di Hcl (10mg),25359,59119,24330,48451
240, Cetiz (10mg),83520,75285,29950,93353
241, Cetiz (10mg) (safe),108657,98359,50090,97662
242, Cetiz (10mg) (vega pharma),112803,21249,102166,75399
243, Cetlar (10 mg),65354,58506,50355,83624
244, Cetlong (10mg),36504,60370,37243,50265
245, Cetlong (50ml),105385,80483,34427,102432
246, Cetmac (10mg),23785,35846,58935,103834
247, Cetmac (30ml),113455,46735,19924,100951
248, Cetmax (10mg),101577,65362,68147,83573
249, Cet-Max (10mg),58876,91257,55478,49332
250, Cetmex (20mg),54453,75636,20770,105160
251, Cetnac (10mg),104734,105774,45331,74054
252, Cetnaz (10mg),39870,98980,34368,80583
253, Cetnet (10mg),14923,38669,45008,14605
254, Cetoday (10mg),24708,63895,45851,82244
255, Ceton (10mg),75150,95993,46109,101190
256, Ceton (30ml),105479,78811,53409,112428
257, Cetos (10mg),67755,43471,89797,115426
258, Cetoz (10mg),118047,56662,75471,41241
259, Cetpine (30ml),93100,115345,115770,94754
260, Cet-Q (10mg),76472,21601,40399,89169
261, Cetra (10mg),25086,52319,15648,61428
262, Cetracare MD (10mg),18387,89650,83735,24620
263, Cetract (10mg),33579,102482,20136,14932
264, Cetrad (30ml),82533,90312,48973,32125
265, Cetrahist (30ml),25924,63603,79264,65995
266, Cetram (10mg),29759,15647,85261,54788
267, Cetramac (10mg),72109,34868,76580,77025
268, Cetree (10mg),62239,61682,67687,50381
269, Cetrezol (10mg),93576,38153,86835,74021
270, Cetrezol (5mg),47785,49772,30685,92974
271, Cetrezol (60ml),15743,22297,91503,50326
272, Cetri (10mg),29058,35693,32396,59424
273, Cetricent-DT (10mg),70427,47496,52001,66139
274, Cetrich (10mg),116587,71189,86453,31817
275, Cetricon (10mg),21319,35131,74602,69279
276, Cetrid (10mg),65788,116802,99375,39953
277, Cetrid OD (10mg),38111,73066,106716,65597
278, Cetridoc (10mg),82024,117029,53234,116771
279, Cetriken (10mg),45456,45975,91005,48276
280, Cetril (10mg),95455,80260,69989,106304
281, Cetril (30ml),104544,91174,110751,25307
282, Cetrila (10mg),87249,29974,104378,94103
283, Cetrila (60ml),96847,38942,46431,60198
284, Cetril-DT (10mg),74854,60134,72795,66832
285, Cetrilin (10mg),60613,92073,15236,28034
286, Cetrilin (30ml),37954,28183,24322,31166
287, Cetrilin (5mg),25626,116828,65005,79855
288, Cetrimin (10mg),55306,96094,26198,36746
289, Cetrimol (10mg),20191,94332,42720,109490
290, Cetrina-MD (10mg),85885,67462,95906,79601
291, Cetrine (10mg),90106,62799,77734,67014
292, Cetrine (60ml),29041,16035,103793,56855
293, Cetrino (10mg),20836,29465,42464,27131
294, Cetrisan (10mg),104513,105538,102688,93792
295, Cetrish (10mg),18229,60044,48900,77870
296, Cetrison (10mg),85742,31004,74905,45407
297, Cetrison (60ml),75033,38677,33107,101908
298, Cetrisyn (10mg),53948,75827,44897,37590
299, Cetritab (10mg),59722,42630,55084,57047
300, Cetritop (10mg),49190,77531,12527,35592
301, Cetriwal (10mg),37117,19430,52266,42830
302, Cetriwin (10mg),42511,91397,30319,53446
303, Cetriz (10mg),93668,101679,95674,49999
304, Cetrizet (10mg),77102,39330,94945,18983
305, Cetrizet (5mg),61924,32156,92887,60689
306, Cetrizine (10mg),42653,67002,60360,32241
307, Cetrizine (10mg) (Low Cost),93091,33635,60856,26393
308, Cetroffin (10mg),114852,26054,73030,91296
309, Cetrose (10mg),104374,62315,89864,37095
310, Cetscal (10mg),39447,49508,100159,53150
311, Cettop (10mg),40132,99825,94254,75997
312, Cetup (10mg) (UPS Healthcare),117493,61100,109388,25593
313, Ceture-DT (10mg),61181,72481,20097,52296
314, Cetven DT (10mg),54999,107248,47348,33298
315, Cetvil (10mg),44365,115383,108748,62002
316, Cetvil (60ml),37944,27044,50088,18359
317, Cet-Z (10mg),61654,45402,82951,70803
318, Cetzen (10mg),39932,49245,85286,100039
319, Cetzid-DT (10mg),13836,57038,63882,53509
320, Cetzikan (10mg),83501,60527,46190,26336
321, Cetzin (30ml),32000,76681,92678,18801
322, Cetzine (10mg),76490,82206,45175,20206
323, Cetzine (60ml),95315,61787,54233,74698
324, Cetzy (10mg),72575,94112,23847,117416
325, Cez (10mg),91095,102042,115007,78624
326, Cezen (10mg),107626,81791,40507,117109
327, Cezine (30ml),55056,45661,84574,57465
328, Cezor (10mg),77425,61436,42354,77852
329, Cistin (10mg),65583,26350,73565,82012
330, Cistin (60ml),39258,47724,26560,77568
331, Citerid (10mg),65666,99607,72550,35691
332, CITI (10mg),74331,13030,89416,50017
333, Citiz (10mg),31306,81103,75960,49108
334, Citizen DT (10mg),85835,113686,68495,102909
335, Citol (60ml),79111,30123,17763,83303
336, Citol DT (10mg),100604,99165,101055,96581
337, Citraclor (10mg),59485,53039,110186,85312
338, Citrazan (10mg),74780,35258,54046,91705
339, Citri A (10mg),85452,42562,45202,84598
340, Citrimin (10mg),30578,111349,52428,62011
341, Citrimin (30ml),91918,32591,109322,66837
342, Citriz (10mg),81237,77081,25266,41813
343, Citrizine (10mg),76246,71229,46170,22911
344, Cizeb (10mg),67556,59621,49838,58997
345, Claritec (10mg),87351,91741,101396,54755
346, Cope (10mg),41664,36488,17984,89376
347, Coszin (10mg),95466,37619,39130,65355
348, Coszin (30ml),18888,96369,61618,47359
349, Crab (10mg),79685,92453,18588,91636
350, CT (10mg),34022,109295,58601,14857
351, CTZ (10mg),99258,84522,96143,67560
352, Cypzine (10mg),19702,32275,109312,29938
353, CZ 3 (10mg),21017,22530,111650,60787
354, CZ 3 (60ml),62010,47608,47552,95518
355, CZN (10mg),99049,101779,58644,67756
356, D Cet (10mg),83838,55333,76269,87717
357, Daily (10mg),101484,45327,21318,16820
358, Dio 1 (10mg),23658,103217,38622,40125
359, Dofcet (10mg),46151,33193,91954,60998
360, Doriz (10mg),63943,41707,39544,97836
361, E Cet MD (10mg),39568,53707,23758,79908
362, Ecitra (10mg),26315,105080,65514,67741
363, Ekon (30ml),53877,63167,110938,67905
364, Ekon DT (10mg),86823,64448,68212,80531
365, Ekon DT (5mg),84756,46012,107583,88953
366, Elart (10mg),48958,104199,100168,45336
367, A - Pandom - SR,37408,65681,94958,30805
368, Acidwel - PD,60128,20152,62696,77279
369, Acipan Plus,75770,111760,56603,21064
370, Adezol,38475,62082,111201,44713
371, Alpan - D,49093,93714,23391,19974
372, Anto - D,66508,51829,43623,67096
373, Anto - DM,21811,111325,78319,55067
374, Anzol -DP,75837,38728,105461,102411
375, Apan -D,94613,83910,108894,20212
376, Apentral - D,105110,45750,79848,62326
377, Arloc -D,105573,44062,67073,112294
378, Arthopan,39897,105434,85766,82652
379, Arthopan (500+20),77888,56692,15894,19749
380, Askapan - DM,110811,68247,40097,41368
381, Asoprazole-D,84421,116461,68811,68264
382, Athzol - DM,76713,88548,46535,44711
383, Azpan - DM,37750,104273,74874,75126
384, Bus -D,116845,24255,113789,105005
385, Concid -DM,50302,42401,38140,58960
386, Culex - D,94135,87334,20567,115197
387, Cupan DSR,105856,77730,77520,68104
388, Cutum D,64061,40873,47778,67203
389, D -OD,74454,17016,90110,103923
390, Degit,18074,105454,72099,39723
391, Dofcid -D,93336,110488,58894,59434
392, Dompan,20714,100189,80103,111736
393, Dompan OD,93543,69212,51920,48092
394, Dompan Tab,100899,73319,65551,38134
395, Domped Tab,75205,50165,18202,81721
396, Domtac,60803,83268,65879,69492
397, Domtal -D,78423,30618,107883,44868
398, Dortel -D,22815,52338,86873,27062
399, Dufex,47674,88859,49638,110374
400, E -Pento-D,70472,37280,31271,73559
401,,49916,28588,107414,64262
402, Elaz -D,24164,107653,69432,28952
403, Emtop -D,29872,68128,82495,101741
404, Emtop -OD,80090,75548,22510,112504
405, Fineorest,52878,72269,15245,111915
406,Tablet   ,83867,53180,27065,33848
407, Fisker - D,47574,20011,87035,85887
408, Forpan - DM,109101,51588,110094,27233
409, Fulpan D,94763,100073,68477,54447
410, Ganaton Total,28600,107094,20213,49404
411, Gastrorid D,50538,104143,87768,88659
412, Gastrorid D SR,32818,44871,115671,59886
413, Gredom,108702,105259,27835,99917
414, Healcer -D,29974,46084,57832,29446
415, Hypa DSR,111202,58281,18308,110235
416, Hyzole - DP,23079,52589,87364,49448
417, Impan - D,87682,94668,35149,107401
418, Inocid - D,28246,95397,51552,15598
419, Kavzole - DSR,27553,80538,63154,89764
420, Kazopan -D,39293,21643,105959,45135
421, Klenz -D,58597,36386,94843,79689
422, Megazole - D,29705,16543,88391,117885
423, Meptop - D,97031,46858,95855,22611
424, Mepzol PD,56251,111422,35723,78654
425, Metop - D,15484,15305,46048,70934
426, Micropan - D,17953,47989,13416,99870
427,,111750,64062,30480,89131
428, Moza Plus,31681,115271,108377,104667
429, Multipan -D,86189,83608,44838,56488
430, Newpen - D,42474,51110,96547,41284
431, Nexpan IV,101311,28629,80850,116002
432,,42654,53971,67233,52481
433, Nitzole - D,118624,57791,59785,113125
434, Nodys - D,69976,82296,90816,97049
435, NPS Pent-D,41940,103516,17449,45815
436, Nupan DSR,77085,56148,84193,107055
437,Tablet   ,67164,25169,52625,11718
438, Nutracid Plus,112351,32893,112135,59150
439, Ocepan - D,110198,18437,16954,58385
440, Odpant -DM,72605,54279,72921,96980
441, Oesocid -D,107727,45379,22919,47150
442, Ondon -P,33372,93689,59178,113045
443, Ondon P (Inj),74532,31679,48121,103498
444, Oxypan DSR,105768,38704,91695,109062
445, P Top D,68800,70266,69117,100696
446, Paid,75287,36717,57976,51677
447, Paleo DM,61262,65241,39490,25605
448, Pamem D,46406,19131,78527,81397
449, Pan -D,80353,56326,26611,16100
450, Pancer DM,59060,28015,58863,73331
451, Pancom -D,28960,45355,58904,28403
452, Pandiff,78714,29616,109413,99687
453, Pandom,34927,44521,118719,18431
454, Pandot -D,85189,69361,80950,63003
455, Panhib - D,44259,27166,39589,111180
456, Panklok -DM,14219,81905,33649,95406
457, Panlee D,21845,41706,63026,102089
458, Panmax - D,87077,35273,44655,111053
459, Panmax DSR,97863,44832,101210,51203
460, Panpep -D,25706,114356,21111,53380
461, Panpra D,97663,19282,40214,33400
462, Panpra -D,64238,97157,24068,104178
463, Panray D,61558,112443,25368,58792
464, Panrik -DM,51458,22014,105395,19454
465, Pansa -D,83692,36286,64186,30509
466, Pansa I V,57029,111306,80988,114589
467, Pansaul -D,40333,18238,41096,62615
468, Pansi -SD,103075,84778,21945,28394
469, Panson -DM,35434,86648,47089,65949
470, Panstrike -D,75566,63309,87193,47494
471, Panstrom D,36854,73039,32875,58853
472, Pantabol D,80139,27967,69886,60765
473, Pantacid -D,80964,94027,21973,94870
474, Pantacore D,117067,64817,88507,55644
475, Pantact -D,105609,75291,113887,73417
476, Pantadal - D,32967,77174,17284,64136
477, Pantadom,95889,68695,63427,107839
478, Pantag -D,25196,50636,39556,101719
479, Pantakure D,35736,83834,30733,82111
480, Pantariv -D,72215,67129,57921,54647
481, Pantaron DM,40476,70944,53916,39299
482, Pantary DSR,19116,23778,33108,104855
483, Pantascot -D,88918,73297,33809,78563
484, Pantec Plus,57412,68646,84413,59002
485, Pantest - D,110572,84605,49573,73983
486, Pantex - D,74163,99681,112176,54655
487, Pantoat -D,33956,22497,95186,22598
488, Pantocar D,47698,80314,68954,67472
489, Pantokan -D,20662,73510,83453,88596
490, Pantolex -D,93306,33857,105029,96081
491, Pantomed -D,86859,101706,34479,88184
492, Panton -D,110568,67694,19847,30766
493, Pantonid -D,19065,50840,96787,110899
494,,67131,76713,80326,20203
495, Pantonock - D,63901,19998,95111,55762
496, Pantonova,69939,99551,34187,47651
497, Pantop -HP,53741,91490,73561,63519
498,,111624,112354,99982,18008
499, Pantop IT,47205,21320,107618,30489
500, Pantop -M,22276,53898,104911,107213
501, Pantorex - O,58411,92193,44752,82647
502, Pantos - D,79323,86584,26101,35392
503, Pantosig DSR,31448,65359,93156,28626
504, Pantosis -DSR,73605,22570,65058,55363
505, Pantova -D,45464,100598,97693,94267
506, Pantovar -D,71369,68232,40655,62810
507, Pantovik -D,26839,41027,83210,74998
508, Pantox -D,47623,35442,75108,79667
509, Pantraz - DSR,53285,44151,78170,28694
510, Pantroz -D,63819,99905,79258,48198
511, Pantry D,32994,30837,32379,27515
512, Panzel D M,52514,96762,91888,29006
513, Panzest -D,90834,100948,44462,113476
514, Panzest -DSR,53216,57165,17790,24997
515, PAP - D,13606,47613,27856,33671
516, Paprazole - D,109569,30167,49159,104786
517, Paridom,79371,84662,73329,107892
518, Pave - DSR,61933,87079,60827,66878
519, PD,112382,42543,55757,19666
520, PD Crat SR,87874,34611,11947,51744
521, PD -Zole,98163,24734,65176,36154
522, Pdizole - SS,74231,38442,80837,71236
523, Pdone,66928,117791,29324,98098
524, Pen -D,103565,32058,19634,62737
525, Penmac D,95392,48986,69130,69130
526, Penmax -DSR,70361,72211,56776,78845
527, Penso -D,38341,41140,66583,25881
528, Pent - D,45225,11760,24090,102138
529, Penta Ruth - D,64221,73191,68472,67704
530, Pentakool -D,93176,14790,64167,117128
531,,22357,12305,92927,96102
532, Pentalink D,66210,40682,38121,111795
533, Pentason D,96776,62213,87953,19195
534, Pentason -D,42853,85920,78032,88546
535, Pentavel,73227,92561,41027,49631
536, Pentavel (20 mg),55649,45389,77227,76076
537, Pentazol -D,78286,69347,18075,58763
538, Pentoat - D,96601,79092,98394,21816
539, Pentona DP,80851,58638,96818,45637
540, Pentorex - D,96763,112303,84004,20773
541, Pentorid DM,60845,96007,34714,53955
542, Pentoxy - DM,25200,83412,33544,28185
543, Pentozed D,51202,90765,74902,109930
544, Pents -D,106049,23837,41253,65000
545,Tablet   ,24104,26021,59695,25632
546, Pepcet - D,23541,19876,102938,22014
547, Pepdal -D,100346,73464,88571,87586
548, Pepmark -D,34712,36939,66405,56019
549, Pepmark -SRD,36418,110658,44563,66087
550, Pepradom,99533,80062,29064,21482
551, Peprodom,43377,95258,81142,73389
552, Perfame -D,118361,19354,110124,81055
553, Petac -D,108472,30410,62093,59544
554, Petra - D,15729,113598,108652,111853
555, Pip - D,22609,74675,25558,79312
556, Pip 40D,68015,46445,47739,70259
557, Piza - D,108807,30395,47025,21110
558, PNX - D,25206,49500,103820,88766
559, Pnzod,89654,96941,99361,56576
560, Pom,66568,96385,103488,66045
561, Poped,87905,38852,22019,15670
562, PPDOM,91100,90726,66983,63333
563, Prabit -D,19753,94136,114516,82304
564, Prado,75414,82059,82952,73775
565, Praper - D,105091,71895,85459,60992
566, Prazo -D,98013,47487,27148,54875
567, Prazol -D,76426,65200,26688,93713
568, Prazol -D Tab,79984,21415,32747,26667
569, Prazosil -DM,21864,50089,52010,53258
570, Probit - D,15567,58957,23476,31907
571, Proplus - DM,28999,99387,77951,106911
572, Protopan D,50875,97740,89791,24153
573, Protopan H,35645,82580,94469,106707
574, Protopan I,19381,39365,96803,60057
575, Prozol D,67434,44722,79045,30720
576, Prozosil -DP,116831,75429,40622,63168
577, PTD,82878,90654,100417,73720
578, Pump -D,23211,23573,92326,102178
579, PZ - D,15111,22006,40444,107905
580, PZ -4 D,78217,35966,47503,60603
581, Pzix -D,20135,95311,58573,80306
582, RA - D,88608,97207,75368,40403
583, Ramin,82342,39136,104844,44897
584, Recozol -D,17031,98727,43725,19421
585, Reftab -D,102511,93593,77178,84923
586, Riczole - D,74438,29727,112855,18756
587, Ropenta - D,61721,32482,49660,72069
588, Santole -D,52764,69612,67840,50506
589, Shamzole D,37035,30302,112035,101005
590, Siapan D,28784,79228,38111,24544
591,Tablet   ,23594,22624,35802,107302
592, Skypen -D,19241,106798,57234,37850
593, Spenta D,63240,35557,95228,33436
594, Stamp DSR,78392,64403,104238,64632
595, Stopik D,100285,63653,83470,77093
596, Sudisol D,29899,29778,77801,63088
597, Sunpen DM,25515,42904,106998,64839
598, Sydom -D,55701,107184,102745,94158
599, Syntac -D,88696,90356,49190,55456
600, Teczo - DM,43919,62110,79913,106240
601, Teemvork,46200,46894,25637,29464
602, Top - D,32539,51997,17886,43656
603,,102450,95911,49103,64294
604, Topan - D,63692,54332,31984,98681
605, Topra 40D,68102,89109,65780,26299
606, Torpid D,80714,34099,81961,31557
607, TPZ - D,30645,15893,45247,82901
608, Tupent - D,35833,115083,42053,21099
609, Udipan - D,95023,113536,41779,94789
610, Ulcipan -D,62946,41446,45325,81092
611, Ulkus DM,60779,55657,35165,47647
612, Ulpan -D,88295,54474,60224,105472
613, Ulrid - D,20586,84093,107777,85150
614, Vipan - D,66490,87507,105753,78613
615, Vomizen -P,58047,115807,109314,57290
616, Wetoe,94493,92779,85196,40993
617, Xepenta Fast,62947,60532,64909,103261
618,Tablet   ,55550,35103,56509,33033
619, Xole - DM,98937,92172,79488,18276
620, Ypan -D,89861,105347,91696,39961
621, Zapan -D,116937,42058,46830,24775
622, Zenta -D,63046,70976,94512,51085
623, Zenti,85457,40026,64257,47638
624, Zolekair -I,76271,31720,90284,75358
625, Zovanta -Kit,50038,112439,57092,43063
626,  Ibuprofen-400,44291,80876,22193,109982
627,   Avibru,51192,24703,87838,52102
628,   Bar,24038,101475,39199,100100
629,   Ibucon,56001,115701,74233,72985
630,   Ibugesic,107681,85049,47648,75812
631,   Ibulite,61928,14633,87210,113566
632,   Ibuprofen,87505,52581,28166,75450
633,   Ibuprofen-200,35257,107341,30265,41462
